{'id_container': 'C000', 'width_container': 37, 'height_container': 36, 'length_container': 20}
{'id_container': 'C001', 'width_container': 8, 'height_container': 36, 'length_container': 40}
{'id_container': 'C002', 'width_container': 3, 'height_container': 36, 'length_container': 20}
{'id_container': 'C003', 'width_container': 36, 'height_container': 36, 'length_container': 31}
{'id_container': 'C004', 'width_container': 7, 'height_container': 36, 'length_container': 36}
{'id_container': 'C005', 'width_container': 10, 'height_container': 36, 'length_container': 32}
{'id_container': 'C006', 'width_container': 12, 'height_container': 36, 'length_container': 12}
{'id_container': 'C007', 'width_container': 6, 'height_container': 36, 'length_container': 27}
{'id_container': 'C008', 'width_container': 38, 'height_container': 36, 'length_container': 16}
{'id_container': 'C009', 'width_container': 16, 'height_container': 36, 'length_container': 11}
{'id_container': 'C010', 'width_container': 14, 'height_container': 36, 'length_container': 13}
{'id_container': 'C011', 'width_container': 14, 'height_container': 36, 'length_container': 24}
{'id_container': 'C012', 'width_container': 3, 'height_container': 36, 'length_container': 6}
{'id_container': 'C013', 'width_container': 5, 'height_container': 36, 'length_container': 27}
{'id_container': 'C014', 'width_container': 15, 'height_container': 36, 'length_container': 40}
{'id_container': 'C015', 'width_container': 40, 'height_container': 36, 'length_container': 25}
{'id_container': 'C016', 'width_container': 25, 'height_container': 36, 'length_container': 20}
{'id_container': 'C017', 'width_container': 3, 'height_container': 36, 'length_container': 25}
{'id_container': 'C018', 'width_container': 33, 'height_container': 36, 'length_container': 33}
{'id_container': 'C019', 'width_container': 23, 'height_container': 36, 'length_container': 6}
{'id_container': 'C020', 'width_container': 37, 'height_container': 36, 'length_container': 34}
{'id_container': 'C021', 'width_container': 15, 'height_container': 36, 'length_container': 40}
{'id_container': 'C022', 'width_container': 20, 'height_container': 36, 'length_container': 17}
{'id_container': 'C023', 'width_container': 16, 'height_container': 36, 'length_container': 23}
{'id_container': 'C024', 'width_container': 24, 'height_container': 36, 'length_container': 36}
{'id_container': 'C025', 'width_container': 10, 'height_container': 36, 'length_container': 28}
{'id_container': 'C026', 'width_container': 24, 'height_container': 36, 'length_container': 34}
{'id_container': 'C027', 'width_container': 33, 'height_container': 36, 'length_container': 37}
{'id_container': 'C028', 'width_container': 39, 'height_container': 36, 'length_container': 32}
{'id_container': 'C029', 'width_container': 9, 'height_container': 36, 'length_container': 13}
{'id_container': 'C030', 'width_container': 2, 'height_container': 36, 'length_container': 16}
{'id_container': 'C031', 'width_container': 28, 'height_container': 36, 'length_container': 39}
{'id_container': 'C032', 'width_container': 21, 'height_container': 36, 'length_container': 7}
{'id_container': 'C033', 'width_container': 10, 'height_container': 36, 'length_container': 9}
{'id_container': 'C034', 'width_container': 30, 'height_container': 36, 'length_container': 30}
{'id_container': 'C035', 'width_container': 33, 'height_container': 36, 'length_container': 28}
{'id_container': 'C036', 'width_container': 14, 'height_container': 36, 'length_container': 9}
{'id_container': 'C037', 'width_container': 16, 'height_container': 36, 'length_container': 20}
