{'id_ship': 'S000', 'width_ship': 72, 'height_ship': 68, 'length_ship': 77}
{'id_ship': 'S001', 'width_ship': 53, 'height_ship': 65, 'length_ship': 99}
{'id_ship': 'S002', 'width_ship': 61, 'height_ship': 74, 'length_ship': 87}
{'id_ship': 'S003', 'width_ship': 52, 'height_ship': 89, 'length_ship': 70}
{'id_ship': 'S004', 'width_ship': 81, 'height_ship': 83, 'length_ship': 56}
{'id_ship': 'S005', 'width_ship': 99, 'height_ship': 92, 'length_ship': 88}
{'id_ship': 'S006', 'width_ship': 58, 'height_ship': 84, 'length_ship': 70}
{'id_ship': 'S007', 'width_ship': 61, 'height_ship': 88, 'length_ship': 60}
{'id_ship': 'S008', 'width_ship': 85, 'height_ship': 80, 'length_ship': 73}
{'id_ship': 'S009', 'width_ship': 63, 'height_ship': 72, 'length_ship': 99}
{'id_ship': 'S010', 'width_ship': 77, 'height_ship': 92, 'length_ship': 57}
{'id_ship': 'S011', 'width_ship': 91, 'height_ship': 65, 'length_ship': 56}
{'id_ship': 'S012', 'width_ship': 86, 'height_ship': 53, 'length_ship': 86}
{'id_ship': 'S013', 'width_ship': 89, 'height_ship': 80, 'length_ship': 55}
{'id_ship': 'S014', 'width_ship': 80, 'height_ship': 53, 'length_ship': 94}
{'id_ship': 'S015', 'width_ship': 68, 'height_ship': 62, 'length_ship': 50}
{'id_ship': 'S016', 'width_ship': 84, 'height_ship': 66, 'length_ship': 51}
{'id_ship': 'S017', 'width_ship': 52, 'height_ship': 55, 'length_ship': 91}
{'id_ship': 'S018', 'width_ship': 83, 'height_ship': 51, 'length_ship': 61}
{'id_ship': 'S019', 'width_ship': 58, 'height_ship': 52, 'length_ship': 94}
{'id_ship': 'S020', 'width_ship': 70, 'height_ship': 71, 'length_ship': 50}
{'id_ship': 'S021', 'width_ship': 54, 'height_ship': 71, 'length_ship': 64}
{'id_ship': 'S022', 'width_ship': 64, 'height_ship': 69, 'length_ship': 62}
{'id_ship': 'S023', 'width_ship': 66, 'height_ship': 61, 'length_ship': 69}
{'id_ship': 'S024', 'width_ship': 69, 'height_ship': 96, 'length_ship': 73}
{'id_ship': 'S025', 'width_ship': 53, 'height_ship': 79, 'length_ship': 50}
{'id_ship': 'S026', 'width_ship': 51, 'height_ship': 75, 'length_ship': 72}
{'id_ship': 'S027', 'width_ship': 56, 'height_ship': 99, 'length_ship': 71}
{'id_ship': 'S028', 'width_ship': 58, 'height_ship': 75, 'length_ship': 67}
{'id_ship': 'S029', 'width_ship': 95, 'height_ship': 76, 'length_ship': 84}
{'id_ship': 'S030', 'width_ship': 76, 'height_ship': 76, 'length_ship': 80}
{'id_ship': 'S031', 'width_ship': 98, 'height_ship': 71, 'length_ship': 77}
{'id_ship': 'S032', 'width_ship': 66, 'height_ship': 86, 'length_ship': 89}
{'id_ship': 'S033', 'width_ship': 92, 'height_ship': 54, 'length_ship': 55}
{'id_ship': 'S034', 'width_ship': 55, 'height_ship': 69, 'length_ship': 99}
{'id_ship': 'S035', 'width_ship': 84, 'height_ship': 84, 'length_ship': 100}
{'id_ship': 'S036', 'width_ship': 69, 'height_ship': 89, 'length_ship': 86}
{'id_ship': 'S037', 'width_ship': 99, 'height_ship': 65, 'length_ship': 80}
{'id_ship': 'S038', 'width_ship': 66, 'height_ship': 95, 'length_ship': 63}
{'id_ship': 'S039', 'width_ship': 68, 'height_ship': 98, 'length_ship': 98}
{'id_ship': 'S040', 'width_ship': 94, 'height_ship': 60, 'length_ship': 91}
{'id_ship': 'S041', 'width_ship': 95, 'height_ship': 61, 'length_ship': 51}
{'id_ship': 'S042', 'width_ship': 72, 'height_ship': 51, 'length_ship': 89}
{'id_ship': 'S043', 'width_ship': 71, 'height_ship': 87, 'length_ship': 91}
{'id_ship': 'S044', 'width_ship': 65, 'height_ship': 97, 'length_ship': 92}
{'id_ship': 'S045', 'width_ship': 88, 'height_ship': 59, 'length_ship': 98}
{'id_ship': 'S046', 'width_ship': 66, 'height_ship': 57, 'length_ship': 80}
{'id_ship': 'S047', 'width_ship': 72, 'height_ship': 78, 'length_ship': 56}
{'id_ship': 'S048', 'width_ship': 68, 'height_ship': 83, 'length_ship': 90}
{'id_ship': 'S049', 'width_ship': 89, 'height_ship': 67, 'length_ship': 76}
{'id_ship': 'S050', 'width_ship': 89, 'height_ship': 58, 'length_ship': 55}
{'id_ship': 'S051', 'width_ship': 98, 'height_ship': 71, 'length_ship': 72}
{'id_ship': 'S052', 'width_ship': 67, 'height_ship': 86, 'length_ship': 80}
{'id_ship': 'S053', 'width_ship': 88, 'height_ship': 82, 'length_ship': 82}
{'id_ship': 'S054', 'width_ship': 91, 'height_ship': 91, 'length_ship': 89}
{'id_ship': 'S055', 'width_ship': 62, 'height_ship': 81, 'length_ship': 96}
{'id_ship': 'S056', 'width_ship': 75, 'height_ship': 70, 'length_ship': 51}
{'id_ship': 'S057', 'width_ship': 65, 'height_ship': 96, 'length_ship': 63}
{'id_ship': 'S058', 'width_ship': 53, 'height_ship': 70, 'length_ship': 51}
{'id_ship': 'S059', 'width_ship': 50, 'height_ship': 98, 'length_ship': 91}
{'id_ship': 'S060', 'width_ship': 62, 'height_ship': 59, 'length_ship': 54}
{'id_ship': 'S061', 'width_ship': 60, 'height_ship': 100, 'length_ship': 68}
{'id_ship': 'S062', 'width_ship': 53, 'height_ship': 50, 'length_ship': 86}
{'id_ship': 'S063', 'width_ship': 83, 'height_ship': 96, 'length_ship': 78}
{'id_ship': 'S064', 'width_ship': 55, 'height_ship': 85, 'length_ship': 70}
{'id_ship': 'S065', 'width_ship': 58, 'height_ship': 57, 'length_ship': 74}
{'id_ship': 'S066', 'width_ship': 56, 'height_ship': 51, 'length_ship': 88}
{'id_ship': 'S067', 'width_ship': 50, 'height_ship': 54, 'length_ship': 83}
{'id_ship': 'S068', 'width_ship': 100, 'height_ship': 55, 'length_ship': 60}
{'id_ship': 'S069', 'width_ship': 81, 'height_ship': 81, 'length_ship': 73}
{'id_ship': 'S070', 'width_ship': 54, 'height_ship': 83, 'length_ship': 79}
{'id_ship': 'S071', 'width_ship': 59, 'height_ship': 73, 'length_ship': 65}
{'id_ship': 'S072', 'width_ship': 79, 'height_ship': 89, 'length_ship': 54}
{'id_ship': 'S073', 'width_ship': 69, 'height_ship': 77, 'length_ship': 97}
{'id_ship': 'S074', 'width_ship': 57, 'height_ship': 54, 'length_ship': 94}
{'id_ship': 'S075', 'width_ship': 62, 'height_ship': 90, 'length_ship': 63}
{'id_ship': 'S076', 'width_ship': 50, 'height_ship': 52, 'length_ship': 64}
{'id_ship': 'S077', 'width_ship': 68, 'height_ship': 78, 'length_ship': 55}
{'id_ship': 'S078', 'width_ship': 60, 'height_ship': 77, 'length_ship': 74}
{'id_ship': 'S079', 'width_ship': 82, 'height_ship': 69, 'length_ship': 96}
{'id_ship': 'S080', 'width_ship': 98, 'height_ship': 64, 'length_ship': 80}
{'id_ship': 'S081', 'width_ship': 72, 'height_ship': 64, 'length_ship': 87}
{'id_ship': 'S082', 'width_ship': 83, 'height_ship': 70, 'length_ship': 57}
{'id_ship': 'S083', 'width_ship': 81, 'height_ship': 79, 'length_ship': 70}
{'id_ship': 'S084', 'width_ship': 51, 'height_ship': 53, 'length_ship': 78}
{'id_ship': 'S085', 'width_ship': 95, 'height_ship': 74, 'length_ship': 80}
{'id_ship': 'S086', 'width_ship': 64, 'height_ship': 75, 'length_ship': 54}
{'id_ship': 'S087', 'width_ship': 74, 'height_ship': 73, 'length_ship': 87}
{'id_ship': 'S088', 'width_ship': 80, 'height_ship': 86, 'length_ship': 85}
{'id_ship': 'S089', 'width_ship': 83, 'height_ship': 78, 'length_ship': 66}
